140540	3	0	0	4	2	3	3	0	0	4	4	10	0
95683	0	0	1	7	0	7	0	0	0	0	0	9	12
98962	2	1	0	2	0	2	6	0	0	0	0	5	12
250000	2	0	0	4	2	3	3	0	0	4	4	10	0
97000	0	0	0	0	0	5	0	0	0	0	0	3	5
127471	1	1	0	1	0	0	0	0	0	0	0	6	0
80000	0	1	0	15	1	30	0	0	0	0	0	12	6
250000	0	0	0	7	1	17	0	0	0	0	0	6	4
80000	1	0	0	6	0	0	0	0	0	0	0	6	15
85000	0	0	0	3	0	2	0	0	0	0	1	10	26
97596	1	1	1	8	3	10	4	0	1	1	0	7	10
110000	1	0	0	0	0	0	0	0	0	0	0	3	6
277526	1	4	3	39	1	20	3	0	0	0	0	12	7
80000	0	0	0	4	1	0	0	0	0	0	0	5	3
106000	1	0	0	6	1	0	4	0	0	0	0	5	12
100000	1	1	3	12	0	0	1	0	0	0	0	4	1
87335	0	0	0	9	2	16	0	0	4	0	0	7	6
87335	1	0	0	1	0	0	5	0	0	0	0	7	4
108353	0	0	0	2	5	2	0	0	0	0	0	5	2
133315	1	0	1	3	0	0	0	0	2	0	0	6	4
128824	1	0	0	13	0	11	0	0	0	0	0	3	2
113482	1	0	0	9	0	7	0	0	0	1	0	3	2
200000	1	1	1	3	0	1	0	0	0	1	0	4	4
177596	0	0	0	3	0	5	0	0	0	1	0	6	6
466493	1	0	0	12	3	6	0	0	0	2	0	42	12
146027	1	2	0	7	0	4	2	0	0	0	0	28	5
210961	1	0	0	10	3	14	0	0	2	0	0	9	4
224051	1	0	5	15	0	9	0	0	1	0	0	46	15
167187	1	8	0	8	0	12	0	0	0	0	0	38	4
312446	1	0	1	0	0	1	0	0	0	0	0	3	1
228120	1	0	0	2	1	0	0	0	0	0	0	2	0
194700	0	0	1	8	5	12	0	0	0	2	0	3	3
106400	0	0	0	3	0	3	0	0	0	0	1	2	2
140500	0	2	1	7	0	0	0	0	0	0	0	7	0
130553	0	0	0	4	2	2	0	0	0	0	0	6	5
96666	0	1	0	5	0	3	0	0	0	0	0	7	7
176999	0	1	5	6	5	25	0	0	0	1	0	12	20
91662	0	1	0	0	0	7	0	0	0	0	0	6	2
124888	0	0	0	2	2	8	0	0	1	1	0	14	12
102000	0	0	0	0	0	6	0	0	0	0	0	9	7
150000	0	1	0	1	0	1	0	0	0	0	0	4	2
84000	0	1	0	3	0	4	0	0	1	1	0	6	4
95666	0	0	4	2	0	16	0	0	2	4	0	9	15
107337	0	0	0	0	0	0	0	0	0	0	0	5	1
103000	0	1	2	7	1	5	0	0	3	5	2	5	5
300000	0	0	0	4	0	13	0	0	4	2	0	10	26
106388	0	0	0	8	0	0	2	0	0	1	0	5	0
128043	0	0	0	13	0	0	0	0	0	1	0	7	0
124777	4	0	0	7	0	4	0	0	0	1	0	7	0
112238	0	0	0	3	0	3	4	0	0	1	0	6	6
127308	0	0	0	12	1	12	0	0	6	1	0	6	0
96119	0	0	0	4	0	2	0	0	4	1	0	2	4
232864	0	0	0	16	2	19	0	0	0	2	0	11	14
400000	1	2	0	15	0	0	0	0	0	1	0	9	9
96000	2	0	0	4	0	6	0	0	1	0	5	3	4
100000	1	0	0	10	0	9	0	0	2	1	4	3	8
96000	1	0	0	1	0	2	0	0	0	0	1	4	5
102799	2	0	0	2	0	7	0	0	0	0	1	7	7
96000	1	0	0	3	0	6	12	0	3	0	4	3	3
129718	1	0	1	6	0	7	0	0	0	0	0	10	1
85000	0	0	0	0	0	0	0	0	0	0	0	2	0
100000	0	1	0	4	3	4	0	0	1	0	0	14	6
200000	0	0	0	2	0	2	0	0	0	1	0	3	4
120000	0	0	0	0	0	0	3	0	0	1	0	12	0
94670	1	0	0	0	0	3	0	0	0	0	0	5	2
80000	1	3	0	10	0	4	0	0	0	0	0	25	15
90000	2	0	0	7	0	5	0	0	2	0	2	5	2
90000	1	0	1	8	0	3	0	0	0	0	0	8	2
99924	2	0	1	3	0	13	0	0	0	3	1	12	17
286976	1	1	1	5	1	9	8	0	1	3	0	10	6
