45	74	91	100	104	110	90	88	61	103	109	115	120	129	129	139
45.8	78	91.6	101.5	107.7	109	90.1	87.2	59	82.5	102.7	110.1	115	122	132.4	138.1
49.7	78	89.2	98.2	103.9	107	92.5	89.5	61.8	81	98.2	107.7	113.3	122.5	131.1	143
27.5	47	83.5	95.1	96.8	103.5	92	87.5	56	58.1	97.8	106.1	112.7	119.4	129.4	141.6
47.08	60.83	88.11	105.64	117.33	102.8	73.5	87.5	55.91	66	99.55	108.27	113.45	119.64	126.57	138.92
48.46	64	86.71	95.56	100	101.8	92.5	87	58.46	73	96.83	105.58	111.63	118.07	125.6	139.1
49.58	75	88	96.45	101	100.25	92.5	87	59.67	82	95.93	103.71	110.89	118.16	125.83	138.25
48.18	78.5	87	95.5	103.8	97	92	86.5	58.67	82	96.08	104.65	111.27	117.86	124.8	137.74
33.33	57	85.17	93.82	99	101.4	92	86.5	71.5	63	96.55	105.09	110.13	117.23	123.25	139.11
49.85	67.67	86.18	91.89	100.5	101.2	94.5	86.5	58.62	73.17	95.93	104	110.63	118.43	122	137.67
48.07	65.22	85.64	91.9	100.4	100	94.5	86.5	57.94	73.67	94.35	102.21	108.15	117.06	123.4	136
44.38	68	82.2	87.67	96.75	95.5	93.5	86	54.64	84	91.75	101.5	109.75	117	124.6	136.2
45.38	66.5	83.58	89.3	90.5	98.67	88	97.33	54.75	83	91.62	100.9	107.65	115.43	123.25	136.5
36.25	49.42	80.36	86	93	97.33	89.33	85.33	59.33	58.91	88.36	96.75	107.14	115.59	123	134.73
47.64	61.89	78.75	85.9	92	100.8	86.5	83	57.18	72.6	88	96.1	105	112.17	121	134.25
48.31	63.2	77.1	85	91	95.67	86.5	83	58.08	70.62	88.38	95.42	103.1	111.86	119.17	134
45.38	64.33	78.62	83.38	89.25	92.4	86.5	82	54.33	70.25	86.33	93	101.64	112.07	119.7	131.73
46.62	56	76.92	85.5	93.37	92	84.5	81.5	53.32	74.5	86.75	93.71	101.67	111.41	121	132.8
34.33	38.15	76.44	82	89.17	91.33	82	79	39.67	46.6	80.29	91.46	100.91	111	120.2	132.33
37.27	48.88	68.56	76.88	79.75	74.88	78.5	75.5	47.27	61.11	78.44	88	95.8	106	114.63	129
33.53	44.5	64.22	72	77.67	77.25	76	75	42	57.92	75.11	84.17	92.88	104.77	112.83	129.78
26.57	48	58.88	68.8	71.5	79.8	85.67	83.33	35.15	68	69.4	81.36	91	104.23	116	129.78
18.57	28.5	42.5	54.8	59.25	74.25	79	80.67	27.57	62.5	61.18	76.4	85.63	96.11	109.29	123.25
10	14.27	43.11	58.67	57.33	76.33	68.5	68.5	29.75	27.27	54.69	66.46	75.45	93.08	108	124
15.44	3.2	46.86	55.88	60	63	61	52	29.78	54.5	59.91	67	78.63	96.9	111.13	127.25
16.82	32.6	44.7	58.43	61.67	59.67	62	62	25.7	41.4	55.93	68.5	79.67	95.42	104.67	119.25
19	34.33	45	55	64	63.33	61.33	58	26.77	44.25	55.47	66.14	78.83	91.75	103.71	117.64
